us,area,settore,rapporti,osservazioni
611,1,A,"[['Covered by', '610', '1', 'Al-Khutm'], ['Covers', '387', '1', 'Al-Khutm'], ['Covers', '609', '1', 'Al-Khutm']]",""
612,1,A,"[['Covered by', '437', '1', 'Al-Khutm'], ['Supports', '613', '1', 'Al-Khutm']]",""
613,1,A,"[['Abuts', '612', '1', 'Al-Khutm'], ['Covered by', '437', '1', 'Al-Khutm']]",""
614,1,A,"[['Covers', '320', '1', 'Al-Khutm'], ['Covers', '383', '1', 'Al-Khutm'], ['Covers', '389', '1', 'Al-Khutm'], ['Covers', '448', '1', 'Al-Khutm'], ['Covers', '594', '1', 'Al-Khutm']]",""
615,1,A,"[['Covered by', '426', '1', 'Al-Khutm'], ['Covers', '393', '1', 'Al-Khutm'], ['Covers', '394', '1', 'Al-Khutm'], ['Covers', '437', '1', 'Al-Khutm']]",""
616,1,A,"[['Covered by', '596', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm'], ['Covers', '381', '1', 'Al-Khutm'], ['Covers', '397', '1', 'Al-Khutm'], ['Covers', '609', '1', 'Al-Khutm'], ['Covers', '618', '1', 'Al-Khutm']]",""
617,1,A,"[['Covered by', '405', '1', 'Al-Khutm'], ['Covered by', '415', '1', 'Al-Khutm'], ['Covered by', '417', '1', 'Al-Khutm'], ['Supports', '384', '1', 'Al-Khutm'], ['Supports', '385', '1', 'Al-Khutm']]",""
618,1,A,"[['Covered by', '596', '1', 'Al-Khutm'], ['Covers', '616', '1', 'Al-Khutm']]",""
619,1,A,"[['Covered by', '320', '1', 'Al-Khutm'], ['Covered by', '608', '1', 'Al-Khutm']]",""
620,1,A,"[['Abuts', '383', '1', 'Al-Khutm']]",""
621,1,5,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '630', '1', 'Al-Khutm'], ['Covered by', '634', '1', 'Al-Khutm'], ['Covered by', '636', '1', 'Al-Khutm'], ['Covered by', '641', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm']]",""
622,1,5,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm']]",""
623,1,5,"[['Abuts', '640', '1', 'Al-Khutm'], ['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm']]",""
624,1,5,"[['Covers', '625', '1', 'Al-Khutm'], ['Covers', '626', '1', 'Al-Khutm'], ['Covers', '628', '1', 'Al-Khutm']]",""
625,1,5,"[['Covered by', '624', '1', 'Al-Khutm']]",""
626,1,5,"[['Covered by', '624', '1', 'Al-Khutm'], ['Covers', '485', '1', 'Al-Khutm'], ['Covers', '627', '1', 'Al-Khutm']]",""
627,1,5,"[['Covered by', '626', '1', 'Al-Khutm'], ['Covered by', '628', '1', 'Al-Khutm'], ['Covered by', '629', '1', 'Al-Khutm'], ['Covers', '632', '1', 'Al-Khutm'], ['Covers', '636', '1', 'Al-Khutm'], ['Cut by', '638', '1', 'Al-Khutm'], ['Same as', '485', '1', 'Al-Khutm'], ['Same as', '633', '1', 'Al-Khutm']]",""
628,1,"","[['Covered by', '624', '1', 'Al-Khutm'], ['Covers', '627', '1', 'Al-Khutm'], ['Covers', '630', '1', 'Al-Khutm'], ['Same as', '483', '1', 'Al-Khutm']]",""
629,1,5,"[['Covers', '627', '1', 'Al-Khutm']]",""
630,1,5,"[['Covered by', '628', '1', 'Al-Khutm'], ['Covered by', '636', '1', 'Al-Khutm'], ['Covered by', '637', '1', 'Al-Khutm'], ['Covers', '621', '1', 'Al-Khutm'], ['Covers', '631', '1', 'Al-Khutm'], ['Same as', '483', '1', 'Al-Khutm']]",""
631,1,5,"[['Covered by', '630', '1', 'Al-Khutm'], ['Covered by', '634', '1', 'Al-Khutm'], ['Covered by', '644', '1', 'Al-Khutm'], ['Covered by', '652', '1', 'Al-Khutm'], ['Covered by', '663', '1', 'Al-Khutm'], ['Covered by', '666', '1', 'Al-Khutm'], ['Covered by', '668', '1', 'Al-Khutm'], ['Covered by', '669', '1', 'Al-Khutm'], ['Covered by', '679', '1', 'Al-Khutm'], ['Covers', '711', '1', 'Al-Khutm'], ['Fills', '704', '1', 'Al-Khutm'], ['Same as', '640', '1', 'Al-Khutm']]",""
632,1,5,"[['Covers', '661', '1', 'Al-Khutm'], ['Covered by', '627', '1', 'Al-Khutm'], ['Covers', '640', '1', 'Al-Khutm']]",""
633,1,5,"[['Same as', '627', '1', 'Al-Khutm']]",""
634,1,5-6,"[['Covers', '703', '1', 'Al-Khutm'], ['Covers'], ['Covers'], ['Covers'], ['Covers'], ['Covers'], ['Covers'], ['Covers'], ['Covers', '685', '1', 'Al-Khutm']]",""
635,1,"","[['Covers', '636', '1', 'Al-Khutm'], ['Same as', '479', '1', 'Al-Khutm']]",""
636,1,5-6,"[['Covered by', '627', '1', 'Al-Khutm'], ['Covered by', '635', '1', 'Al-Khutm'], ['Covers', '621', '1', 'Al-Khutm'], ['Covers', '630', '1', 'Al-Khutm'], ['Covers', '641', '1', 'Al-Khutm']]",""
637,1,"","[['Covers', '630', '1', 'Al-Khutm'], ['Covers', '640', '1', 'Al-Khutm']]",""
638,1,6,"[['Covers', '485', '1', 'Al-Khutm'], ['Cuts', '627', '1', 'Al-Khutm']]",""
640,1,5,"[['Covered by', '485', '1', 'Al-Khutm'], ['Covered by', '632', '1', 'Al-Khutm'], ['Covered by', '634', '1', 'Al-Khutm'], ['Covered by', '637', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm'], ['Same as', '631', '1', 'Al-Khutm'], ['Supports', '623', '1', 'Al-Khutm']]",""
641,1,"","[['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '636', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm'], ['Covers', '621', '1', 'Al-Khutm']]",Burnt root and charcoal samples were taken for c14 analysis.
642,1,"","[['Cuts', '485', '1', 'Al-Khutm'], ['Filled by', '643', '1', 'Al-Khutm']]",Buca 1
643,1,"","[['Fills', '642', '1', 'Al-Khutm']]",""
644,1,"","[['Covers', '631', '1', 'Al-Khutm'], ['Same as', '479', '1', 'Al-Khutm']]",""
645,1,"","[['Covered by', '655', '1', 'Al-Khutm'], ['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '651', '1', 'Al-Khutm'], ['Covered by', '653', '1', 'Al-Khutm'], ['Covers', '654', '1', 'Al-Khutm']]",""
646,1,"","[['Cuts', '650', '1', 'Al-Khutm'], ['Filled by', '647', '1', 'Al-Khutm']]",""
647,1,"","[['Fills', '646', '1', 'Al-Khutm']]",""
648,1,"","[['Cuts', '650', '1', 'Al-Khutm'], ['Filled by', '649', '1', 'Al-Khutm']]",""
649,1,"","[['Fills', '648', '1', 'Al-Khutm']]",""
650,1,"","[['Cut by', '646', '1', 'Al-Khutm'], ['Cut by', '648', '1', 'Al-Khutm']]",""
651,1,"","[['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '645', '1', 'Al-Khutm']]",""
652,1,6-7,"[['Covered by', '634', '1', 'Al-Khutm'], ['Covers', '479', '1', 'Al-Khutm'], ['Covers', '631', '1', 'Al-Khutm'], ['Covers', '666', '1', 'Al-Khutm'], ['Covers', '667', '1', 'Al-Khutm']]",""
653,1,"","[['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '645', '1', 'Al-Khutm']]",""
655,1,6,"[['Covered by', '562', '1', 'Al-Khutm'], ['Covers', '645', '1', 'Al-Khutm']]",""
656,1,6,"[['Cuts', '323', '1', 'Al-Khutm'], ['Cuts', '683', '1', 'Al-Khutm'], ['Filled by', '657', '1', 'Al-Khutm']]",""
657,1,"","[['Covered by', '562', '1', 'Al-Khutm'], ['Fills', '656', '1', 'Al-Khutm']]",""
658,1,"","[['Covered by', '562', '1', 'Al-Khutm'], ['Covers', '683', '1', 'Al-Khutm']]",""
659,1,6,"[['Filled by', '660', '1', 'Al-Khutm'], ['Filled by', '660', '1', 'Al-Khutm']]",""
660,1,6,"[['Covered by', '683', '1', 'Al-Khutm'], ['Fills', '659', '1', 'Al-Khutm']]",""
661,1,5,"[['Covered by', '632', '1', 'Al-Khutm'], ['Cut by', '664', '1', 'Al-Khutm']]",""
662,1,"","[['Covered by', '683', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm']]",""
663,1,"","[['Covers', '631', '1', 'Al-Khutm']]",""
664,1,"","[['Cuts', '661', '1', 'Al-Khutm'], ['Filled by', '665', '1', 'Al-Khutm']]",""
665,1,"","[['Covered by', '634', '1', 'Al-Khutm'], ['Covers', '661', '1', 'Al-Khutm'], ['Fills', '664', '1', 'Al-Khutm']]",""
666,1,6,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '652', '1', 'Al-Khutm'], ['Covers', '463', '1', 'Al-Khutm'], ['Covers', '631', '1', 'Al-Khutm']]",Same as 653?
667,1,"","[['Covers', '668', '1', 'Al-Khutm']]",""
668,1,7,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '667', '1', 'Al-Khutm'], ['Covers', '631', '1', 'Al-Khutm'], ['Covers', '670', '1', 'Al-Khutm'], ['Covers', '682', '1', 'Al-Khutm'], ['Same as', '669', '1', 'Al-Khutm']]",Same as SU 669. 
669,1,7,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '631', '1', 'Al-Khutm'], ['Covers', '670', '1', 'Al-Khutm'], ['Covers', '672', '1', 'Al-Khutm'], ['Covers', '673', '1', 'Al-Khutm'], ['Covers', '674', '1', 'Al-Khutm'], ['Covers', '676', '1', 'Al-Khutm'], ['Covers', '677', '1', 'Al-Khutm'], ['Covers', '682', '1', 'Al-Khutm'], ['Same as', '668', '1', 'Al-Khutm']]",Same level of SU 668. SU 669 was distinguished from SU 668 because its darker brown colour and the concentration of concotto and traces of fire.
670,1,7,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '668', '1', 'Al-Khutm'], ['Covered by', '669', '1', 'Al-Khutm'], ['Covered by', '677', '1', 'Al-Khutm'], ['Covered by', '682', '1', 'Al-Khutm'], ['Covers', '686', '1', 'Al-Khutm'], ['Covers', '692', '1', 'Al-Khutm'], ['Cut by', '671', '1', 'Al-Khutm'], ['Cut by', '675', '1', 'Al-Khutm'], ['Cut by', '681', '1', 'Al-Khutm']]",""
671,1,7,"[['Cuts', '692', '1', 'Al-Khutm'], ['Cuts', '670', '1', 'Al-Khutm'], ['Filled by', '672', '1', 'Al-Khutm']]",""
672,1,7,"[['Covered by', '669', '1', 'Al-Khutm'], ['Fills', '671', '1', 'Al-Khutm']]",""
673,1,7,"[['Covered by', '669', '1', 'Al-Khutm'], ['Covered by', '674', '1', 'Al-Khutm'], ['Covered by', '682', '1', 'Al-Khutm'], ['Fills', '681', '1', 'Al-Khutm']]","The stractture has been removed and excavated in 2024, because it was in connection with SU 670"
674,1,7,"[['Covered by', '669', '1', 'Al-Khutm'], ['Covers', '673', '1', 'Al-Khutm']]",""
675,1,7,"[['Cut by', '686', '1', 'Al-Khutm'], ['Cuts', '670', '1', 'Al-Khutm'], ['Filled by', '676', '1', 'Al-Khutm']]",""
676,1,7,"[['Covered by', '669', '1', 'Al-Khutm'], ['Fills', '675', '1', 'Al-Khutm']]",""
677,1,7,"[['Covered by', '669', '1', 'Al-Khutm'], ['Covers', '670', '1', 'Al-Khutm']]",Same as SU 670 or cover it? 
678,1,7,"[['Covered by'], ['Covered by', '583', '1', 'Al-Khutm'], ['Covers'], ['Covers', '712', '1', 'Al-Khutm']]",""
679,1,6,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '680', '1', 'Al-Khutm'], ['Covers', '463', '1', 'Al-Khutm'], ['Covers', '631', '1', 'Al-Khutm']]",""
680,1,6,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '463', '1', 'Al-Khutm'], ['Covers', '679', '1', 'Al-Khutm']]",""
681,1,7,"[['Covered by', '688', '1', 'Al-Khutm'], ['Cuts', '670', '1', 'Al-Khutm'], ['Cuts', '692', '1', 'Al-Khutm'], ['Filled by', '673', '1', 'Al-Khutm']]",""
682,1,7,"[['Covered by', '668', '1', 'Al-Khutm'], ['Covered by', '669', '1', 'Al-Khutm'], ['Covers', '670', '1', 'Al-Khutm'], ['Covers', '673', '1', 'Al-Khutm']]","excavated during the excavation campaign 2024, still to understand the relatioship with SU 686"
683,1,"","[['Covered by', '658', '1', 'Al-Khutm'], ['Covers', '323'], ['Covers', '660', '1', 'Al-Khutm'], ['Covers', '662', '1', 'Al-Khutm'], ['Cut by', '656']]",""
684,1,6,"[['Cuts', '323', '1', 'Al-Khutm'], ['Filled by', '463', '1', 'Al-Khutm']]",""
685,1,7,"[['Covered by', '634', '1', 'Al-Khutm'], ['Covers', '687', '1', 'Al-Khutm'], ['Covers', '696', '1', 'Al-Khutm'], ['Covers', '712', '1', 'Al-Khutm']]",""
686,1,"","[['Covered by', '670', '1', 'Al-Khutm'], ['Cuts', '675', '1', 'Al-Khutm']]","It is not clear yet if the stones exposed in the area are all to be referred to SU 686, or if they are part of different structures."
687,1,"","[['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '685', '1', 'Al-Khutm'], ['Covers', '700', '1', 'Al-Khutm']]",""
688,1,"","[['Covered by', '673', '1', 'Al-Khutm'], ['Covers', '681', '1', 'Al-Khutm'], ['Covers', '689', '1', 'Al-Khutm']]",""
689,1,"","[['Covered by', '688', '1', 'Al-Khutm']]",""
690,1,"","[['Covered by', '689', '1', 'Al-Khutm']]","it is not clear yet if the four larger stones in the W side of the alignment cut another layer yet to be defined, or if they cover SU 706, as the stones seem to be deeply stuck in the soil; it is also not clear if the alignment cuts SU 706 or if it covers it"
691,1,"","[['Covered by', '678', '1', 'Al-Khutm'], ['Covered by', '712', '1', 'Al-Khutm'], ['Covers', '693', '1', 'Al-Khutm'], ['Covers', '708', '1', 'Al-Khutm'], ['Cut by', '694', '1', 'Al-Khutm']]",""
692,1,"","[['Covered by', '670', '1', 'Al-Khutm'], ['Covered by', '686', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm'], ['Cut by', '671', '1', 'Al-Khutm'], ['Cut by', '681', '1', 'Al-Khutm']]",""
693,1,7,"[['Covered by', '691', '1', 'Al-Khutm'], ['Covered by', '712', '1', 'Al-Khutm'], ['Covers', '708', '1', 'Al-Khutm']]",""
694,1,7,"[['Cuts', '691', '1', 'Al-Khutm'], ['Filled by', '695', '1', 'Al-Khutm']]",""
695,1,7,"[['Covered by', '712', '1', 'Al-Khutm'], ['Fills', '694', '1', 'Al-Khutm']]",""
696,1,7,"[['Covered by'], ['Covered by', '712', '1', 'Al-Khutm'], ['Covers'], ['Covers', '700', '1', 'Al-Khutm'], ['Cut by']]",""
697,1,7,"[['Covered by', '696', '1', 'Al-Khutm'], ['Covered by', '699', '1', 'Al-Khutm'], ['Covered by', '700', '1', 'Al-Khutm'], ['Covered by', '712', '1', 'Al-Khutm'], ['Covers', '698', '1', 'Al-Khutm']]",""
698,1,7,"[['Covered by'], ['Covers', '707', '1', 'Al-Khutm'], ['Covers', '707', '1', 'Al-Khutm'], ['Cut by']]",""
699,1,7,"[['Covered by', '697', '1', 'Al-Khutm'], ['Covers', '698', '1', 'Al-Khutm'], ['Covers', '707', '1', 'Al-Khutm']]",""
700,1,7,"[['Covered by', '696', '1', 'Al-Khutm'], ['Covered by', '687', '1', 'Al-Khutm'], ['Covered by', '496', '1', 'Al-Khutm'], ['Covered by', '497', '1', 'Al-Khutm'], ['Covers', '697', '1', 'Al-Khutm'], ['Covers', '699', '1', 'Al-Khutm']]",""
701,1,7,"[['Cuts'], ['Cuts', '698', '1', 'Al-Khutm'], ['Filled by'], ['Filled by', '703', '1', 'Al-Khutm']]",""
702,1,"","[['Covered by', '703', '1', 'Al-Khutm'], ['Fills', '701', '1', 'Al-Khutm']]",""
703,1,7,"[['Covered by', '634', '1', 'Al-Khutm'], ['Covers', '702', '1', 'Al-Khutm'], ['Fills', '701', '1', 'Al-Khutm']]",prelevato un campione dalla parte più vicina al fondo
704,1,"","[['Cuts', '323', '1', 'Al-Khutm'], ['Cuts', '706', '1', 'Al-Khutm'], ['Cuts', '711', '1', 'Al-Khutm'], ['Filled by', '631', '1', 'Al-Khutm'], ['Filled by', '705', '1', 'Al-Khutm']]",maybe cut of the foundation pit of the wall ?
705,1,"","[['Fills', '704', '1', 'Al-Khutm']]",""
706,1,"","[['Covered by', '692', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm'], ['Cut by', '704', '1', 'Al-Khutm']]",""
707,1,7,"[['Covered by', '698', '1', 'Al-Khutm'], ['Covered by', '714', '1', 'Al-Khutm']]",""
